BRUKSDØGN;PRISOMRÅDE;VOLUM_KWH;ANTALL_ORGANISASJONER;ANTALL_MÅLEPUNKT
2022-11-08;NO2;474931,813;14;25
2022-11-08;NO3;1411726,880;7;15
2022-11-08;NO4;718920,611;11;32
2022-11-08;NO5;129074,207;6;12
2022-11-09;NO1;301159,685;22;63
2022-11-09;NO2;484836,299;14;25
2022-11-09;NO3;1415502,930;7;15
2022-11-09;NO4;736971,287;11;32
2022-11-09;NO5;129856,256;6;12
2022-11-10;NO1;301400,255;22;63
2022-11-10;NO2;481478,559;14;25
2022-11-10;NO3;1395654,630;7;15
2022-11-10;NO4;749794,428;11;32
2022-11-10;NO5;129698,332;6;12
2022-11-11;NO1;301411,117;22;63
2022-11-11;NO2;560374,785;14;25
2022-11-11;NO3;1400765,310;7;15
2022-11-11;NO4;736948,359;11;32
2022-11-11;NO5;129410,680;6;12
2022-11-12;NO1;303050,221;22;63
2022-11-12;NO2;630110,159;14;25
2022-11-12;NO3;1400110,570;7;15
2022-11-12;NO4;744804,765;11;32
2022-11-12;NO5;128437,606;6;12
2022-11-13;NO1;300616,961;22;63
2022-11-13;NO2;484455,331;14;25
2022-11-13;NO3;1404463,000;7;15
2022-11-13;NO4;745047,359;11;32
2022-11-13;NO5;123677,139;6;12
2022-11-14;NO1;303181,198;22;63
2022-11-14;NO2;299014,221;14;25
2022-11-14;NO3;1409492,990;7;15
2022-11-14;NO4;746788,446;11;32
2022-11-14;NO5;111639,268;6;12
2022-11-15;NO1;306620,387;22;63
2022-11-15;NO2;369606,788;14;25
2022-11-15;NO3;1395989,300;7;15
2022-11-15;NO4;750154,255;11;32
2022-11-15;NO5;112093,805;6;12
2022-11-16;NO1;309681,087;22;63
2022-11-16;NO2;533836,925;14;25
2022-11-16;NO3;1401083,180;7;15
2022-11-16;NO4;751805,908;11;32
2022-11-16;NO5;111529,133;6;12
2022-11-17;NO1;313158,737;22;63
2022-11-17;NO2;363252,324;14;25
2022-11-17;NO3;1410069,810;7;15
2022-11-17;NO4;752826,547;11;32
2022-11-17;NO5;110928,306;6;12
2022-11-18;NO1;315901,473;22;63
2022-11-18;NO2;255959,960;14;25
2022-11-18;NO3;1408764,530;7;15
2022-11-18;NO4;753725,281;11;32
2022-11-18;NO5;103776,408;6;12
2022-11-19;NO1;297459,703;22;63
2022-11-19;NO2;243926,312;14;25
2022-11-19;NO3;1403182,060;7;15
2022-11-19;NO4;752264,579;11;32
2022-11-19;NO5;103226,043;6;12
2022-11-20;NO1;274531,451;22;63
2022-11-20;NO2;227914,970;14;25
2022-11-20;NO3;1406198,210;7;15
2022-11-20;NO4;753026,473;11;32
2022-11-20;NO5;104972,766;6;12
2022-11-21;NO1;278866,862;22;63
2022-11-21;NO2;238832,893;14;25
2022-11-21;NO3;1374873,490;7;15
2022-11-21;NO4;545066,983;11;32
2022-11-21;NO5;105149,866;6;12
2022-11-22;NO1;278779,408;22;63
2022-11-22;NO2;244812,547;14;25
2022-11-22;NO3;1395756,430;7;15
2022-11-22;NO4;408360,396;11;32
2022-11-22;NO5;105198,161;6;12
2022-11-23;NO1;279321,172;22;63
2022-11-23;NO2;247465,381;14;25
2022-11-23;NO3;1400741,930;7;15
2022-11-23;NO4;774868,364;11;32
2022-11-23;NO5;104509,700;6;12
2022-11-24;NO1;275806,066;22;63
2022-11-24;NO2;246574,055;14;25
2022-11-24;NO3;1404535,210;7;15
2022-11-24;NO4;775167,640;11;32
2022-11-24;NO5;103686,205;6;12
2022-11-25;NO1;273295,577;22;63
2022-11-25;NO2;247198,543;14;25
2022-11-25;NO3;1416304,750;7;15
2022-11-25;NO4;774877,587;11;32
2022-11-25;NO5;101388,198;6;12
2022-11-26;NO1;268207,895;22;63
2022-11-26;NO2;234367,994;14;25
2022-11-26;NO3;1420400,890;7;15
2022-11-26;NO4;649577,689;11;32
2022-11-26;NO5;101570,219;6;12
2022-11-27;NO1;265886,083;22;63
2022-11-27;NO2;219983,505;14;25
2022-11-27;NO3;1416465,170;7;15
2022-11-27;NO4;771885,294;11;32
2022-11-27;NO5;101696,980;6;12
2022-11-28;NO1;272122,257;22;63
2022-11-28;NO2;232021,460;14;25
2022-11-28;NO3;1420294,000;7;15
2022-11-28;NO4;771860,280;11;32
2022-11-28;NO5;101989,091;6;12
2022-11-29;NO1;275179,803;22;63
2022-11-29;NO2;241192,863;14;25
2022-11-29;NO3;1223040,790;7;15
2022-11-29;NO4;605962,505;11;32
2022-11-29;NO5;96522,846;6;12
2022-11-30;NO1;271146,673;22;63
2022-11-30;NO2;245579,691;14;25
2022-11-30;NO3;692236,190;7;15
2022-11-30;NO4;68204,837;11;32
2022-11-30;NO5;92704,616;6;12
2022-12-01;NO1;272471,467;22;63
2022-12-01;NO2;246517,720;14;25
2022-12-01;NO3;695222,560;7;15
2022-12-01;NO4;69695,673;11;32
2022-12-01;NO5;100739,505;6;12
2022-12-02;NO1;271326,754;22;63
2022-12-02;NO2;244680,993;14;25
2022-12-02;NO3;688784,400;7;15
2022-12-02;NO4;149848,420;11;32
2022-12-02;NO5;104370,682;6;12
2022-12-03;NO1;269595,946;22;63
2022-12-03;NO2;238635,169;14;25
2022-12-03;NO3;684202,800;7;15
2022-12-03;NO4;85265,105;11;32
2022-12-03;NO5;103680,610;6;12
2022-12-04;NO1;270130,416;22;63
2022-12-04;NO2;224110,421;14;25
2022-12-04;NO3;683522,480;7;15
2022-12-04;NO4;167594,081;11;32
2022-12-04;NO5;103574,503;6;12
2022-12-05;NO1;278439,775;22;63
2022-12-05;NO2;236575,040;14;25
2022-12-05;NO3;681027,970;7;15
2022-12-05;NO4;634337,983;11;32
2022-12-05;NO5;104250,007;6;12
2022-12-06;NO1;280432,267;22;63
2022-12-06;NO2;255752,993;14;25
2022-12-06;NO3;681149,000;7;15
2022-12-06;NO4;169365,867;11;32
2022-12-06;NO5;104167,724;6;12
2022-12-07;NO1;283147,045;22;63
2022-12-07;NO2;257166,705;14;25
2022-12-07;NO3;681325,450;7;15
2022-12-07;NO4;60113,417;11;32
2022-12-07;NO5;113080,452;6;12
2022-12-08;NO1;285098,550;22;63
2022-12-08;NO2;266612,846;14;25
2022-12-08;NO3;681893,130;7;15
2022-12-08;NO4;66854,740;11;32
2022-12-08;NO5;119388,361;6;12
2022-12-09;NO1;283862,326;22;63
2022-12-09;NO2;254946,675;13;23
2022-12-09;NO3;679359,050;7;15
2022-12-09;NO4;63273,637;11;32
2022-12-09;NO5;111216,131;6;12
2022-12-10;NO1;280205,349;22;63
2022-12-10;NO2;243002,112;13;23
2022-12-10;NO3;677544,790;7;15
2022-12-10;NO4;59026,360;11;32
2022-12-10;NO5;102030,068;6;12
2022-12-11;NO1;282201,902;22;63
2022-12-11;NO2;235415,668;13;23
2022-12-11;NO3;678227,990;7;15
2022-12-11;NO4;55940,497;11;32
2022-12-11;NO5;101714,953;6;12
2022-12-12;NO1;287883,084;22;63
2022-12-12;NO2;256008,047;13;23
2022-12-12;NO3;678532,170;7;15
2022-12-12;NO4;48155,698;11;32
2022-12-12;NO5;101407,544;6;12
2022-12-13;NO1;288551,293;22;63
2022-12-13;NO2;269797,099;13;23
2022-12-13;NO3;682771,500;7;15
2022-12-13;NO4;37600,716;11;32
2022-12-13;NO5;101175,331;6;12
2022-12-14;NO1;289944,511;22;63
2022-12-14;NO2;269813,111;13;23
2022-12-14;NO3;682939,270;7;15
2022-12-14;NO4;31144,100;11;32
2022-12-14;NO5;103493,582;6;12
2022-12-15;NO1;292762,885;22;63
2022-12-15;NO2;269184,321;13;23
2022-12-15;NO3;680395,550;7;15
2022-12-15;NO4;31849,477;11;32
2022-12-15;NO5;103331,941;6;12
2022-12-16;NO1;295342,592;22;63
2022-12-16;NO2;268606,974;13;23
2022-12-16;NO3;680317,300;7;15
2022-12-16;NO4;35650,848;11;32
2022-12-16;NO5;108186,566;6;12
2022-12-17;NO1;285670,541;22;63
2022-12-17;NO2;251917,657;13;23
2022-12-17;NO3;682779,770;7;15
2022-12-17;NO4;37859,211;11;32
2022-12-17;NO5;118873,318;6;12
2022-12-18;NO1;281191,752;22;63
2022-12-18;NO2;236027,485;13;23
2022-12-18;NO3;677261,690;7;15
2022-12-18;NO4;542617,326;11;32
2022-12-18;NO5;127180,430;6;12
2022-12-19;NO1;286667,558;22;63
2022-12-19;NO2;240310,793;13;23
2022-12-19;NO3;688262,790;7;15
2022-12-19;NO4;38933,514;11;32
2022-12-19;NO5;128336,296;6;12
2022-12-20;NO1;280136,726;22;63
2022-12-20;NO2;241392,491;13;23
2022-12-20;NO3;694330,400;7;15
2022-12-20;NO4;166384,187;11;32
2022-12-20;NO5;140495,824;6;12
2022-12-21;NO1;280479,987;22;63
2022-12-21;NO2;240739,109;13;23
2022-12-21;NO3;695762,060;7;15
2022-12-21;NO4;38789,550;11;32
2022-12-21;NO5;145169,086;6;12
2022-12-22;NO1;281569,858;22;63
2022-12-22;NO2;231370,867;13;23
2022-12-22;NO3;689808,270;7;15
2022-12-22;NO4;38867,701;11;33
2022-12-22;NO5;150800,049;6;12
2022-12-23;NO1;286067,725;22;63
2022-12-23;NO2;234525,501;13;23
2022-12-23;NO3;681374,480;7;15
2022-12-23;NO4;38881,898;11;33
2022-12-23;NO5;152293,687;6;12
2022-12-24;NO1;289428,181;22;63
2022-12-24;NO2;228936,035;13;23
2022-12-24;NO3;681251,650;7;15
2022-12-24;NO4;38683,182;11;33
2022-12-24;NO5;151873,768;6;12
2022-12-25;NO1;284649,823;22;63
2022-12-25;NO2;216258,471;13;23
2022-12-25;NO3;679618,150;7;15
2022-12-25;NO4;44509,578;11;33
2022-12-25;NO5;151665,971;6;12
2022-12-26;NO1;279108,961;22;63
2022-12-26;NO2;204790,066;13;23
2022-12-26;NO3;691682,710;7;15
2022-12-26;NO4;256437,311;11;33
2022-12-26;NO5;150800,563;6;12
2022-12-27;NO1;282690,117;22;63
2022-12-27;NO2;209995,899;13;23
2022-12-27;NO3;680376,370;7;15
2022-12-27;NO4;777323,156;11;33
2022-12-27;NO5;150167,542;6;12
2022-12-28;NO1;286189,724;22;63
2022-12-28;NO2;209761,559;13;23
2022-12-28;NO3;682491,630;7;15
2022-12-28;NO4;681003,896;11;33
2022-12-28;NO5;150253,759;6;12
2022-12-29;NO1;282334,723;22;63
2022-12-29;NO2;210588,131;13;23
2022-12-29;NO3;699117,780;7;15
2022-12-29;NO4;780412,705;11;33
2022-12-29;NO5;150099,487;6;12
2022-12-30;NO1;287916,194;22;63
2022-12-30;NO2;209412,727;13;23
2022-12-30;NO3;813889,410;7;15
2022-12-30;NO4;780210,242;11;33
2022-12-30;NO5;149745,485;6;12
2022-12-31;NO1;285042,964;22;63
2022-12-31;NO2;203711,508;13;23
2022-12-31;NO3;1154830,980;7;15
2022-12-31;NO4;777663,422;11;33
2022-12-31;NO5;149617,837;6;12
2023-01-01;NO1;282439,337;22;63
2023-01-01;NO2;193045,847;12;21
2023-01-01;NO3;1304719,130;7;15
2023-01-01;NO4;545193,988;11;33
2023-01-01;NO5;150043,923;6;12
2023-01-02;NO1;287209,147;22;63
2023-01-02;NO2;199344,311;12;21
2023-01-02;NO3;1167213,780;7;15
2023-01-02;NO4;322133,994;11;33
2023-01-02;NO5;150939,387;6;12
2023-01-03;NO1;291421,963;22;63
2023-01-03;NO2;207685,441;12;21
2023-01-03;NO3;695377,540;7;15
2023-01-03;NO4;309924,093;11;33
2023-01-03;NO5;151495,534;6;12
2023-01-04;NO1;288842,458;22;63
2023-01-04;NO2;217075,192;12;21
2023-01-04;NO3;691194,690;7;15
2023-01-04;NO4;322449,175;11;33
2023-01-04;NO5;151199,284;6;12
2023-01-05;NO1;288200,054;22;63
2023-01-05;NO2;225850,148;12;21
2023-01-05;NO3;690872,000;7;15
2023-01-05;NO4;430124,048;11;33
2023-01-05;NO5;141180,411;6;12
2023-01-06;NO1;288140,065;22;63
2023-01-06;NO2;221445,648;12;20
2023-01-06;NO3;690978,150;7;15
2023-01-06;NO4;531590,564;11;33
2023-01-06;NO5;151034,191;5;11
2023-01-07;NO1;281973,986;22;63
2023-01-07;NO2;217195,631;12;20
2023-01-07;NO3;688818,040;7;15
2023-01-07;NO4;530480,141;11;33
2023-01-07;NO5;156068,068;5;11
2023-01-08;NO1;277548,992;22;63
2023-01-08;NO2;213890,888;12;20
2023-01-08;NO3;683866,530;7;15
2023-01-08;NO4;527253,958;11;33
2023-01-08;NO5;122501,523;5;11
2023-01-09;NO1;281666,830;22;63
2023-01-09;NO2;222014,993;12;20
2023-01-09;NO3;684139,610;7;15
2023-01-09;NO4;528104,643;11;33
2023-01-09;NO5;119003,310;5;11
2023-01-10;NO1;284024,597;22;63
2023-01-10;NO2;232140,389;12;20
2023-01-10;NO3;686803,770;7;15
2023-01-10;NO4;536445,184;11;33
2023-01-10;NO5;126815,183;5;11
2023-01-11;NO1;283814,059;23;64
2023-01-11;NO2;233084,099;12;20
2023-01-11;NO3;640274,180;7;15
2023-01-11;NO4;538138,001;11;33
2023-01-11;NO5;104924,412;5;11
2023-01-12;NO1;283550,136;23;64
2023-01-12;NO2;235034,180;12;20
2023-01-12;NO3;687539,410;7;15
2023-01-12;NO4;538290,741;11;33
2023-01-12;NO5;117766,887;5;11
2023-01-13;NO1;282281,195;23;64
2023-01-13;NO2;235290,532;12;20
2023-01-13;NO3;692328,400;7;16
2023-01-13;NO4;542096,125;11;33
2023-01-13;NO5;144645,818;5;11
2023-01-14;NO1;278371,700;23;64
2023-01-14;NO2;225841,844;12;20
2023-01-14;NO3;692866,330;7;16
2023-01-14;NO4;548429,833;11;33
2023-01-14;NO5;144826,730;5;11
2023-01-15;NO1;273646,393;23;64
2023-01-15;NO2;208789,059;12;20
2023-01-15;NO3;693099,860;7;16
2023-01-15;NO4;550427,023;11;33
2023-01-15;NO5;144841,515;5;11
2023-01-16;NO1;284111,568;23;64
2023-01-16;NO2;228315,943;12;20
2023-01-16;NO3;692216,530;7;16
2023-01-16;NO4;475951,230;11;33
2023-01-16;NO5;145114,721;5;11
2023-01-17;NO1;283555,848;23;64
2023-01-17;NO2;237673,813;12;20
2023-01-17;NO3;693119,940;7;16
2023-01-17;NO4;542822,790;11;33
2023-01-17;NO5;145379,828;5;11
2023-01-18;NO1;281750,551;23;64
2023-01-18;NO2;235233,221;12;20
2023-01-18;NO3;692009,500;7;16
2023-01-18;NO4;542844,607;11;33
2023-01-18;NO5;148536,193;5;11
2023-01-19;NO1;281150,007;23;64
2023-01-19;NO2;237245,239;12;20
2023-01-19;NO3;693770,650;7;16
2023-01-19;NO4;542183,127;11;32
2023-01-19;NO5;153700,105;5;11
2023-01-20;NO1;284915,457;23;64
2023-01-20;NO2;235365,665;12;20
2023-01-20;NO3;694219,830;7;16
2023-01-20;NO4;542143,213;11;32
2023-01-20;NO5;153516,764;5;11
2023-01-21;NO1;285368,031;23;64
2023-01-21;NO2;228779,990;12;20
2023-01-21;NO3;697578,230;7;16
2023-01-21;NO4;541989,945;11;32
2023-01-21;NO5;153092,412;5;11
2023-01-22;NO1;282645,335;23;64
2023-01-22;NO2;215098,793;12;20
2023-01-22;NO3;707133,460;7;16
2023-01-22;NO4;541806,636;11;32
2023-01-22;NO5;153003,896;5;11
2023-01-23;NO1;280737,746;23;64
2023-01-23;NO2;228879,789;12;20
2023-01-23;NO3;705949,850;7;16
2023-01-23;NO4;541776,567;11;32
2023-01-23;NO5;153000,454;5;11
2023-01-24;NO1;281192,044;23;64
2023-01-24;NO2;239460,253;12;20
2023-01-24;NO3;706316,840;7;16
2023-01-24;NO4;542075,928;11;32
2023-01-24;NO5;152453,673;5;10
2023-01-25;NO1;280377,309;23;64
2023-01-25;NO2;236672,611;12;20
2023-01-25;NO3;703494,630;7;16
2023-01-25;NO4;540732,067;11;32
2023-01-25;NO5;151901,387;5;10
2023-01-26;NO1;283871,435;23;64
2023-01-26;NO2;239326,837;12;20
2023-01-26;NO3;871237,920;7;16
2023-01-26;NO4;493160,258;11;32
2023-01-26;NO5;160564,527;5;10
2023-01-27;NO1;284029,650;23;64
2023-01-27;NO2;243117,065;12;20
2023-01-27;NO3;1142721,110;8;17
2023-01-27;NO4;542570,769;11;32
2023-01-27;NO5;169497,992;5;10
2023-01-28;NO1;277827,795;23;64
2023-01-28;NO2;230912,631;12;20
2023-01-28;NO3;1088469,410;8;17
2023-01-28;NO4;542088,797;11;32
2023-01-28;NO5;169368,839;5;10
2023-01-29;NO1;274905,226;23;64
2023-01-29;NO2;210684,316;12;20
2023-01-29;NO3;1051823,080;8;17
2023-01-29;NO4;542241,692;11;32
2023-01-29;NO5;168636,225;5;10
2023-01-30;NO1;282192,918;23;64
2023-01-30;NO2;223360,185;12;20
2023-01-30;NO3;1055527,080;8;17
2023-01-30;NO4;540967,022;11;32
2023-01-30;NO5;168061,311;5;10
2023-01-31;NO1;280296,328;23;64
2023-01-31;NO2;236855,381;12;20
2023-01-31;NO3;1037720,330;8;17
2023-01-31;NO4;541470,746;11;32
2023-01-31;NO5;165221,623;5;10
2023-02-01;NO1;280633,308;23;64
2023-02-01;NO2;238365,171;12;20
2023-02-01;NO3;1026694,460;9;18
2023-02-01;NO4;543152,169;10;31
2023-02-01;NO5;167210,646;5;10
2023-02-02;NO1;287955,114;23;64
2023-02-02;NO2;247525,857;12;20
2023-02-02;NO3;1018152,580;9;18
2023-02-02;NO4;532751,922;10;31
2023-02-02;NO5;168600,716;5;10
2023-02-03;NO1;285960,898;23;64
2023-02-03;NO2;245792,659;12;20
2023-02-03;NO3;1028174,130;9;18
2023-02-03;NO4;447484,427;10;31
2023-02-03;NO5;168870,491;5;10
2023-02-04;NO1;282179,363;23;64
2023-02-04;NO2;238633,593;12;20
2023-02-04;NO3;1029840,190;9;18
2023-02-04;NO4;539112,348;10;31
2023-02-04;NO5;147802,090;5;10
2023-02-05;NO1;277772,446;23;64
2023-02-05;NO2;215855,032;12;20
2023-02-05;NO3;1034330,260;9;18
2023-02-05;NO4;536142,723;10;31
2023-02-05;NO5;119703,727;5;10
2023-02-06;NO1;283337,797;23;64
2023-02-06;NO2;223647,900;12;20
2023-02-06;NO3;1054075,810;9;18
2023-02-06;NO4;533200,270;10;31
2023-02-06;NO5;119716,095;5;10
2023-02-07;NO1;280554,709;23;64
2023-02-07;NO2;235711,704;12;20
2023-02-07;NO3;1257800,040;9;18
2023-02-07;NO4;536657,100;10;31
2023-02-07;NO5;119627,188;5;10
2023-02-08;NO1;281227,708;23;64
2023-02-08;NO2;235101,310;12;20
2023-02-08;NO3;1402875,710;9;18
2023-02-08;NO4;529074,645;10;31
2023-02-08;NO5;118768,447;5;10
2023-02-09;NO1;280614,865;23;64
2023-02-09;NO2;243713,799;12;20
2023-02-09;NO3;1416039,510;9;18
2023-02-09;NO4;532548,677;10;31
2023-02-09;NO5;108899,339;5;10
2023-02-10;NO1;283197,018;23;64
2023-02-10;NO2;239652,178;12;20
2023-02-10;NO3;1379618,210;9;18
2023-02-10;NO4;534741,325;10;31
2023-02-10;NO5;119546,755;5;10
2023-02-11;NO1;276127,630;23;64
2023-02-11;NO2;231862,201;12;20
2023-02-11;NO3;1385144,880;9;18
2023-02-11;NO4;534809,698;10;31
2023-02-11;NO5;118582,638;5;10
2023-02-12;NO1;275878,803;23;64
2023-02-12;NO2;214924,884;12;20
2023-02-12;NO3;1383543,730;9;18
2023-02-12;NO4;532528,626;10;31
2023-02-12;NO5;119295,343;5;10
2023-02-13;NO1;280384,864;23;64
2023-02-13;NO2;226023,415;12;20
2023-02-13;NO3;1386130,820;9;18
2023-02-13;NO4;531663,642;10;31
2023-02-13;NO5;119590,211;5;10
2023-02-14;NO1;282155,960;23;64
2023-02-14;NO2;236443,784;12;20
2023-02-14;NO3;1355694,870;9;18
2023-02-14;NO4;532736,772;10;31
2023-02-14;NO5;121488,004;5;10
2023-02-15;NO1;281923,147;23;64
2023-02-15;NO2;235963,905;12;20
2023-02-15;NO3;1348086,290;9;18
2023-02-15;NO4;537734,653;10;31
2023-02-15;NO5;126422,430;5;10
2023-02-16;NO1;280684,837;23;64
2023-02-16;NO2;235271,567;12;20
2023-02-16;NO3;1339190,090;9;18
2023-02-16;NO4;537647,850;10;31
2023-02-16;NO5;126988,019;5;10
2023-02-17;NO1;280114,944;23;64
2023-02-17;NO2;237054,245;12;20
2023-02-17;NO3;1344952,670;9;18
2023-02-17;NO4;536680,713;10;31
2023-02-17;NO5;130529,178;5;10
2023-02-18;NO1;278246,714;23;64
2023-02-18;NO2;228684,200;12;20
2023-02-18;NO3;1384144,700;9;18
2023-02-18;NO4;535991,779;10;31
2023-02-18;NO5;127004,170;5;10
2023-02-19;NO1;279628,741;23;64
2023-02-19;NO2;209387,115;12;20
2023-02-19;NO3;1377785,260;9;18
2023-02-19;NO4;535417,060;10;31
2023-02-19;NO5;127019,613;5;10
2023-02-20;NO1;282009,156;23;64
2023-02-20;NO2;215879,973;12;20
2023-02-20;NO3;1361820,260;9;18
2023-02-20;NO4;535938,687;10;31
2023-02-20;NO5;125718,024;5;10
2023-02-21;NO1;282410,098;23;64
2023-02-21;NO2;226195,104;12;20
2023-02-21;NO3;1156900,160;9;18
2023-02-21;NO4;475957,055;10;31
2023-02-21;NO5;127060,535;5;10
2023-02-22;NO1;291926,646;23;64
2023-02-22;NO2;229083,603;12;20
2023-02-22;NO3;1320145,330;9;18
2023-02-22;NO4;533038,949;10;31
2023-02-22;NO5;126313,367;5;10
2023-02-23;NO1;283509,452;23;64
2023-02-23;NO2;234703,384;12;20
2023-02-23;NO3;1327255,780;9;18
2023-02-23;NO4;679795,177;10;31
2023-02-23;NO5;132408,232;5;10
2023-02-24;NO1;287180,316;23;64
2023-02-24;NO2;232646,910;12;20
2023-02-24;NO3;1320824,350;9;18
2023-02-24;NO4;783573,220;10;31
2023-02-24;NO5;128043,341;6;11
2023-02-25;NO1;282960,087;23;64
2023-02-25;NO2;228514,061;12;20
2023-02-25;NO3;1322236,490;9;18
2023-02-25;NO4;786776,790;10;31
2023-02-25;NO5;127477,037;6;11
2023-02-26;NO1;284328,063;23;64
2023-02-26;NO2;213679,349;12;20
2023-02-26;NO3;1356374,020;9;18
2023-02-26;NO4;786620,888;10;31
2023-02-26;NO5;126819,349;6;11
2023-02-27;NO1;285287,572;23;64
2023-02-27;NO2;215688,970;12;20
2023-02-27;NO3;1358054,280;9;18
2023-02-27;NO4;785722,715;10;31
2023-02-27;NO5;126826,044;6;11
2023-02-28;NO1;284945,038;23;64
2023-02-28;NO2;236348,748;12;20
2023-02-28;NO3;1359836,280;9;18
2023-02-28;NO4;767367,704;10;31
2023-02-28;NO5;127168,528;6;11
2023-03-01;NO1;284685,002;23;64
2023-03-01;NO2;239609,137;13;21
2023-03-01;NO3;1359201,310;9;18
2023-03-01;NO4;736087,974;10;31
2023-03-01;NO5;127142,236;6;11
2023-03-02;NO1;285556,274;23;64
2023-03-02;NO2;240283,114;13;21
2023-03-02;NO3;1360525,410;9;18
2023-03-02;NO4;743634,715;10;31
2023-03-02;NO5;126766,480;6;11
2023-03-03;NO1;285001,798;23;64
2023-03-03;NO2;239887,465;13;21
2023-03-03;NO3;1362512,610;9;18
2023-03-03;NO4;750466,447;10;31
2023-03-03;NO5;126553,114;6;11
2023-03-04;NO1;282091,080;23;64
2023-03-04;NO2;237216,161;13;21
2023-03-04;NO3;1358269,190;9;18
2023-03-04;NO4;751005,100;10;31
2023-03-04;NO5;119220,955;6;11
2023-03-05;NO1;282346,250;23;64
2023-03-05;NO2;225354,742;13;21
2023-03-05;NO3;1341761,790;9;18
2023-03-05;NO4;751592,676;10;31
2023-03-05;NO5;120005,937;6;11
2023-03-06;NO1;289081,335;23;64
2023-03-06;NO2;225274,900;13;21
2023-03-06;NO3;924454,310;9;18
2023-03-06;NO4;574633,790;10;31
2023-03-06;NO5;121812,259;6;11
2023-03-07;NO1;291736,887;23;64
2023-03-07;NO2;225112,379;13;21
2023-03-07;NO3;693884,790;9;18
2023-03-07;NO4;490173,399;10;31
2023-03-07;NO5;122976,419;6;11
2023-03-08;NO1;294391,522;23;64
2023-03-08;NO2;233948,407;13;21
2023-03-08;NO3;691263,060;9;18
2023-03-08;NO4;488484,083;10;31
2023-03-08;NO5;123141,237;6;11
2023-03-09;NO1;296193,806;23;64
2023-03-09;NO2;250175,512;13;21
2023-03-09;NO3;697749,150;9;18
2023-03-09;NO4;546220,794;10;31
2023-03-09;NO5;123740,118;6;11
2023-03-10;NO1;292251,444;23;64
2023-03-10;NO2;250092,884;13;21
2023-03-10;NO3;1222396,130;9;18
2023-03-10;NO4;682896,619;10;31
2023-03-10;NO5;124760,092;6;11
2023-03-11;NO1;286946,185;23;64
2023-03-11;NO2;239319,835;13;21
2023-03-11;NO3;1242173,620;9;18
2023-03-11;NO4;726708,456;10;31
2023-03-11;NO5;130971,014;6;11
2023-03-12;NO1;285660,423;23;64
2023-03-12;NO2;226505,457;13;21
2023-03-12;NO3;1236162,490;9;18
2023-03-12;NO4;731978,616;10;31
2023-03-12;NO5;136923,188;6;11
2023-03-13;NO1;289081,747;23;64
2023-03-13;NO2;228485,029;13;21
2023-03-13;NO3;1063806,050;9;18
2023-03-13;NO4;731106,544;10;31
2023-03-13;NO5;135957,900;6;11
2023-03-14;NO1;293579,473;23;64
2023-03-14;NO2;248255,260;13;21
2023-03-14;NO3;1234487,706;10;19
2023-03-14;NO4;655117,885;10;31
2023-03-14;NO5;135567,278;6;11
2023-03-15;NO1;295461,153;23;64
2023-03-15;NO2;253716,526;13;21
2023-03-15;NO3;1237415,540;10;19
2023-03-15;NO4;737056,255;10;31
2023-03-15;NO5;135941,822;6;11
2023-03-16;NO1;296729,727;23;64
2023-03-16;NO2;253737,198;13;21
2023-03-16;NO3;1265085,000;10;19
2023-03-16;NO4;734162,340;10;31
2023-03-16;NO5;129542,428;6;11
2023-03-17;NO1;293793,301;23;64
2023-03-17;NO2;251683,762;13;21
2023-03-17;NO3;1328522,410;10;19
2023-03-17;NO4;735127,398;10;31
2023-03-17;NO5;122826,561;6;11
2023-03-18;NO1;283663,076;23;64
2023-03-18;NO2;237923,409;13;21
2023-03-18;NO3;1369452,980;10;19
2023-03-18;NO4;734074,929;10;31
2023-03-18;NO5;139540,539;6;11
2023-03-19;NO1;284355,113;23;64
2023-03-19;NO2;224031,391;13;21
2023-03-19;NO3;1381129,850;10;19
2023-03-19;NO4;734483,245;10;31
2023-03-19;NO5;139732,008;6;11
2023-03-20;NO1;291272,356;23;64
2023-03-20;NO2;214175,326;13;21
2023-03-20;NO3;1398939,000;10;19
2023-03-20;NO4;734043,525;10;31
2023-03-20;NO5;135691,300;6;11
2023-03-21;NO1;293071,116;23;64
2023-03-21;NO2;207475,706;13;21
2023-03-21;NO3;1437700,960;10;19
2023-03-21;NO4;734551,105;10;31
2023-03-21;NO5;127827,699;6;11
2023-03-22;NO1;291348,316;23;64
2023-03-22;NO2;236792,032;13;21
2023-03-22;NO3;1460643,320;10;19
2023-03-22;NO4;734563,556;10;31
2023-03-22;NO5;130440,212;6;11
2023-03-23;NO1;291720,112;23;64
2023-03-23;NO2;249452,391;13;21
2023-03-23;NO3;1489648,440;10;19
2023-03-23;NO4;735275,733;10;31
2023-03-23;NO5;135106,757;6;11
2023-03-24;NO1;293855,553;23;64
2023-03-24;NO2;251003,753;13;21
2023-03-24;NO3;1512563,910;10;19
2023-03-24;NO4;735178,281;10;31
2023-03-24;NO5;129901,723;6;11
2023-03-25;NO1;291109,424;23;64
2023-03-25;NO2;240812,927;13;21
2023-03-25;NO3;1541680,320;10;19
2023-03-25;NO4;733670,758;10;31
2023-03-25;NO5;126627,961;6;11
2023-03-26;NO1;281956,777;23;64
2023-03-26;NO2;219058,485;13;21
2023-03-26;NO3;1486626,490;10;19
